--- AR Telemetry Log Started at 2026-04-30T09:31:16.340Z ---
2026-04-30T09:31:38.332Z | 09:31:27.880 | phase1 | P1:video:event | waiting | {"readyState":0,"videoW":1080,"videoH":1920,"trackState":"live","trackLabel":"camera 0, facing back"} | 830ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.881 | phase1 | P1:video:event | loadstart | {"readyState":0,"videoW":1080,"videoH":1920,"trackState":"live","trackLabel":"camera 0, facing back"} | 830ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.898 | phase1 | P1:video:event | loadedmetadata | {"readyState":4,"videoW":1080,"videoH":1920,"trackState":"live","trackLabel":"camera 0, facing back"} | 848ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.899 | phase1 | P1:video:event | loadeddata | {"readyState":4,"videoW":1080,"videoH":1920,"trackState":"live","trackLabel":"camera 0, facing back"} | 849ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.900 | phase1 | P1:video:event | canplay | {"readyState":4,"videoW":1080,"videoH":1920,"trackState":"live","trackLabel":"camera 0, facing back"} | 849ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.900 | phase1 | P1:video:event | playing | {"readyState":4,"videoW":1080,"videoH":1920,"trackState":"live","trackLabel":"camera 0, facing back"} | 850ms from boot
2026-04-30T09:31:38.332Z | 09:31:27.901 | phase1 | P1:video:event | canplaythrough | {"readyState":4,"videoW":1080,"videoH":1920,"trackState":"live","trackLabel":"camera 0, facing back"} | 851ms from boot
2026-04-30T09:31:38.332Z | 09:31:28.249 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 1199ms from boot
2026-04-30T09:31:38.332Z | 09:31:28.582 | phase1 | P1:model:measure | {"worldSize":{"x":"0.0000","y":"0.0000","z":"0.0000"},"worldMaxDim":"0.0000","currentScale":1,"modelBaseMaxDim":"0.0000"} | 1532ms from boot
2026-04-30T09:31:38.332Z | 09:31:29.088 | phase1 | P1:track:detail | {"id":"9d860b25-f5c6-4f9f-a20e-83685b6810ff","kind":"video","label":"camera 0, facing back","readyState":"live","settings":{"aspectRatio":0.5625,"colorTemperature":0,"deviceId":"e6acffa54b1694d74d1315998d1076e8e33067dd8a74b20deca15009bd23981e","exposureCompensation":0,"exposureMode":"continuous","exposureTime":100.00088,"facingMode":"environment","focusDistance":0,"focusMode":"continuous","frameRate":60,"groupId":"48d0d221814a5c1f8d01b9ba3a307499af01a3d4a67a48cf84ca75674803bc22","height":1920,"iso":100,"resizeMode":"none","torch":false,"whiteBalanceMode":"continuous","width":1080,"zoom":1},"capabilities":{"aspectRatio":{"max":4080,"min":0.0003255208333333333},"colorTemperature":{"max":7000,"min":2850,"step":50},"deviceId":"e6acffa54b1694d74d1315998d1076e8e33067dd8a74b20deca15009bd23981e","exposureCompensation":{"max":4,"min":-4,"step":0.1666666716337204},"exposureMode":["continuous","manual"],"exposureTime":{"max":83103.43667,"min":0.26503,"step":0.1},"facingMode":["environment"],"focusDistance":{"max":5.21999979019165,"min":0.10500000417232513,"step":0.009999999776482582},"focusMode":["manual","single-shot","continuous"],"frameRate":{"max":60,"min":0},"groupId":"48d0d221814a5c1f8d01b9ba3a307499af01a3d4a67a48cf84ca75674803bc22","height":{"max":3072,"min":1},"iso":{"max":11906,"min":47,"step":1},"resizeMode":["none","crop-and-scale"],"torch":true,"whiteBalanceMode":["continuous","manual"],"width":{"max":4080,"min":1},"zoom":{"max":8,"min":1,"step":0.1}}} | 2037ms from boot
